"champ";"statut";"annee";"periode";"date du resultat";"ipe";tum1;eff;nbchir;chirurg0;nbmutrf;nbdom;nbdc;nb0j;nbj;agem;type;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";SC;201;0;0;50;125;26;7;1431;76.457711443;1;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";UHCD;696;0;0;125;562;9;690;44;53.755747126;1;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";ZAUM;1969;4;0;414;1458;97;6;12628;73.00761808;1;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";tot;3458;4;0;633;2693;132;1153;14245;69.885482938;1;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";HP;450;0;0;12;438;0;450;0;77.737777778;2;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";SC;201;0;0;50;125;26;7;1431;76.457711443;2;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";UHCD;696;0;0;125;562;9;690;44;53.755747126;2;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";ZAUM;1965;4;0;413;1455;97;6;12624;73.005089059;2;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";tot;3312;4;0;600;2580;132;1153;14099;69.8125;2;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:08";="590000600";HP;247;0;0;0;247;0;198;49;48.979757085;1;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:08";="590000600";ZAUM;725;0;0;109;574;42;5;6919;73.791724138;1;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:08";="590000600";tot;972;0;0;109;821;42;203;6968;67.486625514;1;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:08";="590000600";HP;198;0;0;0;198;0;198;0;49.95959596;2;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:08";="590000600";ZAUM;724;0;0;109;573;42;5;6918;73.79281768;2;2023.7;X590000600;29AUG23;14:23:02
