"champ";"statut";"annee";"periode";"date du resultat";"ipe";var;mnt;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 10:38:19";="590780052";04;0;2023.7;X590780052;30AUG23;10:38:03
"mco";"dgf";"2023";"7";"2023/08/30 10:38:19";="590780052";05;0;2023.7;X590780052;30AUG23;10:38:03
"mco";"dgf";"2023";"7";"2023/08/30 10:39:37";="590797353";01;75419636;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:37";="590797353";11;43994787.667;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:37";="590797353";02;42880696.133;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:37";="590797353";03;R;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:37";="590797353";04;43660560.21;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:37";="590797353";05;43660560.21;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 11:30:58";="590782421";01;134625753;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:58";="590782421";11;78531689.25;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:58";="590782421";02;72977437.01;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:58";="590782421";03;R;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:58";="590782421";04;76865413.59;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:58";="590782421";05;76865413.59;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:12:48";="800000051";01;0;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:12:48";="800000051";11;0;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:12:48";="800000051";02;0;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:12:48";="800000051";03;S;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:12:48";="800000051";04;0;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:12:48";="800000051";05;0;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 14:17:53";="590782165";01;40518466;2023.7;X590782165;30AUG23;14:17:25
"mco";"dgf";"2023";"7";"2023/08/30 14:17:53";="590782165";11;23635771.833;2023.7;X590782165;30AUG23;14:17:25
"mco";"dgf";"2023";"7";"2023/08/30 14:17:53";="590782165";02;22897398.864;2023.7;X590782165;30AUG23;14:17:25
"mco";"dgf";"2023";"7";"2023/08/30 14:17:53";="590782165";03;R;2023.7;X590782165;30AUG23;14:17:25
"mco";"dgf";"2023";"7";"2023/08/30 14:17:53";="590782165";04;23414259.95;2023.7;X590782165;30AUG23;14:17:25
