"champ";"statut";"annee";"periode";"date du resultat";"ipe";let_ghm;adnp_11;adnp_10;adnp_21;adnp_20;adnp_v1;adnp_v0;adnp_x1;adnp_x0;Total_Dans;Total_Hors;Total;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/01 08:06:45";="020000071";M;1;0;3;0;0;1;0;0;4;1;5;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 09:18:45";="600100721";C;2;0;147;0;0;1;0;0;149;1;150;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:18:45";="600100721";K;0;0;79;0;0;2;0;0;79;2;81;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:18:45";="600100721";M;2;0;94;2;1;66;0;0;97;68;165;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:18:45";="600100721";Z;0;0;0;2;0;1172;0;0;0;1174;1174;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 12:15:15";="620100057";C;5;0;26;0;102;4;0;0;133;4;137;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:15:15";="620100057";K;1;0;15;0;114;2;0;0;130;2;132;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:15:15";="620100057";M;12;1;253;6;327;205;0;0;592;212;804;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:15:15";="620100057";Z;0;1;0;185;3;4695;0;0;3;4881;4884;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:21:28";="600101984";C;10;0;310;0;13;1;0;0;333;1;334;2023.7;X600101984;01SEP23;12:20:52
