"champ";"statut";"annee";"periode";"date du resultat";"ipe";modesh;COUNT;PERCENT;count2;percent2;evol;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:23:08";="590000600";73;1;0.1028806584;1;0.0964320154;6.6872427984;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:08";="590000600";74;;0;1;0.0964320154;-100;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:08";="590000600";8;679;69.855967078;837;80.713596914;-13.45204557;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:08";="590000600";87;142;14.609053498;20;1.9286403086;657.47942387;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:08";="590000600";9;42;4.3209876543;65;6.2680810029;-31.06362773;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:24:40";="620025346";01;5;0.0530841915;10;0.0960614793;-44.73935662;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:40";="620025346";62;89;0.9448986092;22;0.2113352546;347.1088419;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:40";="620025346";71;344;3.6521923771;378;3.6311239193;0.5802186395;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:40";="620025346";72;204;2.1658350143;346;3.3237271854;-34.83716041;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:40";="620025346";73;4;0.0424673532;2;0.0192122959;121.04257352;2023.7;X620025346;29AUG23;14:24:34
