"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;nb22a;dep22a;dep22_vala;nb22b;dep22b;dep22_valb;nbt22a;nbt22b;valo;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892992075;9299207;9299207;I999999;721;2494664.31;2498793.99;721;2494664.31;2498793.99;721;721;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893001813;9300181;9300181;I000268;956;246458.658;246941.943;956;246458.658;246941.943;956;956;2.910383E-11;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893001813;9300181;9300181;I000270;8;2062.416;2066.46;8;2062.416;2066.46;8;8;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893001813;9300181;9300181;I999999;260;67028.486;67159.933;260;67028.486;67159.933;260;260;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893011119;9301111;9301111;I000105;428.386;344599.861;345276.62828;428.386;344599.861;345276.62828;431.056;431.056;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893011119;9301111;9301111;I000107;4.395;3535.401;3542.344365;4.395;3535.401;3542.344365;4.395;4.395;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893011119;9301111;9301111;I000108;37.499;30164.736;30223.976713;35.459;28523.731;28579.748733;37.499;35.459;1644.22798;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893011119;9301111;9301111;I000109;82.224;66142.163;66272.063788;82.224;66142.163;66272.063788;82.224;82.224;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893011119;9301111;9301111;I999999;189.279;152258.755;152557.77707;189.279;152258.755;152557.77707;189.279;189.279;2.910383E-11;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893047187;9304718;9304718;I000028;141;41876.059;41943.0815;141;41876.059;41943.0815;141;141;-7.27596E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893047767;9304776;9304776;I000353;18;13048.686;13074.264;18;13048.686;13074.264;18;18;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893047767;9304776;9304776;I999999;8.5;6161.88;6173.95825;8.5;6161.88;6173.95825;8.5;8.5;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893071830;9307183;9307183;I000359;19.74;6603.92;6616.87846;19.74;6603.92;6616.87846;19.74;19.74;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893071830;9307183;9307183;I000360;71.26;23839.681;23886.46104;71.26;23839.681;23886.46104;71.26;71.26;-3.63798E-12;2023.7;X590780193;05SEP23;14:08:27
