"champ";"statut";"annee";"periode";"date du resultat";"ipe";_NAME_;COL1;COL2;COL3;COL4;COL5;COL6;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 14:46:33";="800000077";nbuhcd;0;0;;0;0;;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:33";="800000077";nbabott;0;0;;0;0;;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";per;1;2;3;1;2;3;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";nbrsa;344;308;11.688311688;247;224;10.267857143;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";cmd90;0;0;;0;0;;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";hper;0;0;;0;0;;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";typsejb;0;0;;0;0;;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";ghs9999;0;0;;0;0;;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";nbrsaseance;10;27;-62.96296296;4;18;-77.77777778;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";nbseances;10;27;-62.96296296;4;18;-77.77777778;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";nbrsa0;7;18;-61.11111111;4;16;-75;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";nbjJT0;1;1;0;0;1;-100;2023.7;X590782645;28AUG23;12:09:41
